"","uni","metric","metrix","stage","col","ASnormalized.t11_icra4.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.35362834184321,0.000000000000000000000000000000000000000000000000000000000130056975276147
"2","Sigma.1.0","Sigma","2","1","1",4.82692591557645,0.00000000000000000000000000000000000000000000000478125691136009
"3","Connect.1.0","Connect","3","1","1",0.27368642400868,0.00000000000000454948009930622
"4","Tau1.1.0","Tau1","4","1","1",678.177291412583,0.00000000000000000000000000164780742908566
"5","Tau2.1.0","Tau2","5","1","1",1194940.98874663,0.0000000000000000000000280357992585912
"6","NPQ.1.0","NPQ","6","1","1",0.681270443754656,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000284316394081101
"7","qP.1.0","qP","7","1","1",1.28578140642229,0.000000000000000000000000000000000000000000000000000000000260113950552295
"8","ABQ.1.0","ABQ","8","1","1",0,0.00000000000000000000000000000000000000000000000478125691136009
"9","qm.1.0","qm","9","1","1",0,0.000000000000000000000000000000000000000000000000000000000130056975276147
"10","nTau1.1.0","nTau1","10","1","1",1,0.00000000000000000000000000164780742908566
"11","nTau2.1.0","nTau2","11","1","1",1,0.0000000000000000000000280357992585912
"12","nCon.1.0","nCon","12","1","1",1,0.00000000000000454948009930622
"13","Fm.1.0","Fm","13","1","1",1856.46317536891,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000284316394081101
"14","Fo.1.0","Fo","14","1","1",1199.96518097022,0.000000000000000000000000000000000000000000000000000000000260113950552295
"15","Quant.3.0","Quant","1","3","1",0.0499251991272933,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000606757508370677
"16","Sigma.3.0","Sigma","2","3","1",2.9302283075761,0.000000000000000000000000000000367128124288785
"17","Connect.3.0","Connect","3","3","1",0.444211841530206,0.000000000000266026062067892
"18","Tau1.3.0","Tau1","4","3","1",3792.06741802349,0.0000000276032781665003
"19","Tau2.3.0","Tau2","5","3","1",5428818.88218194,0.0000000274319566004243
"20","NPQ.3.0","NPQ","6","3","1",0.0967847250174695,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000262037418791915
"21","qP.3.0","qP","7","3","1",0.279411927504971,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000121351501674133
"22","ABQ.3.0","ABQ","8","3","1",0.392941106031838,0.000000000000000000000000000000367128124288785
"23","qm.3.0","qm","9","3","1",0.858820141883795,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000606757508370677
"24","nTau1.3.0","nTau1","10","3","1",5.5915576443513,0.0000000276032781665003
"25","nTau2.3.0","nTau2","11","3","1",4.54316902115492,0.0000000274319566004243
"26","nCon.3.0","nCon","12","3","1",1.62306860173714,0.000000000000266026062067892
"27","Fm.3.0","Fm","13","3","1",2845.78787019208,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000262037418791915
"28","Fo.3.0","Fo","14","3","1",2703.7113440987,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000121351501674133
"29","Quant.4.0","Quant","1","4","1",0.0431728579723065,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000677821392588913
"30","Sigma.4.0","Sigma","2","4","1",2.87419744927499,0.0000000000000000000000000000168472063972338
"31","Connect.4.0","Connect","3","4","1",0.406618327502912,0.000000000201129904608321
"32","Tau1.4.0","Tau1","4","4","1",2111.60123863733,0.000000884324778962175
"33","Tau2.4.0","Tau2","5","4","1",5511274.19871386,0.000000403801930738753
"34","NPQ.4.0","NPQ","6","4","1",0.117708928188019,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000537676093683363
"35","qP.4.0","qP","7","4","1",0.30066647180105,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000135564278517782
"36","ABQ.4.0","ABQ","8","4","1",0.40454908578564,0.0000000000000000000000000000168472063972338
"37","qm.4.0","qm","9","4","1",0.877914598848957,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000677821392588913
"38","nTau1.4.0","nTau1","10","4","1",3.11364191248435,0.000000884324778962175
"39","nTau2.4.0","nTau2","11","4","1",4.61217269356087,0.000000403801930738753
"40","nCon.4.0","nCon","12","4","1",1.48570879602715,0.000000000201129904608321
"41","Fm.4.0","Fm","13","4","1",2792.51295927881,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000537676093683363
"42","Fo.4.0","Fo","14","4","1",2671.95219390204,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000135564278517782
"43","Quant.5.0","Quant","1","5","1",0.0429137335339623,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000568945120556725
"44","Sigma.5.0","Sigma","2","5","1",4.03390739999918,0.000000000000000000000000260529185494186
"45","Connect.5.0","Connect","3","5","1",0.154074329816091,0.0661943310860337
"46","Tau1.5.0","Tau1","4","5","1",1605.77490770198,0.000000000461876832893209
"47","Tau2.5.0","Tau2","5","5","1",9883810.58313907,0.000127952675729731
"48","NPQ.5.0","NPQ","6","5","1",0.12018890831823,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000941999166342499
"49","qP.5.0","qP","7","5","1",0.304142120508568,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000113789024111345
"50","ABQ.5.0","ABQ","8","5","1",0.164290591868876,0.000000000000000000000000260529185494186
"51","qm.5.0","qm","9","5","1",0.878647358098381,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000568945120556725
"52","nTau1.5.0","nTau1","10","5","1",2.36778041381671,0.000000000461876832893209
"53","nTau2.5.0","nTau2","11","5","1",8.27137965491177,0.000127952675729731
"54","nCon.5.0","nCon","12","5","1",0.562959344345133,0.0661943310860337
"55","Fm.5.0","Fm","13","5","1",2786.33063002975,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000941999166342499
"56","Fo.5.0","Fo","14","5","1",2666.75877983513,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000113789024111345
"57","Quant.6.0","Quant","1","6","1",0.0461466906641647,0.00000000000000000000000000000000000000000000000000000000000000000000000000000003086041764844
"58","Sigma.6.0","Sigma","2","6","1",4.01468357795607,0.00000000000000000000000000656498001429908
"59","Connect.6.0","Connect","3","6","1",0.232383799768241,0.00145574597793108
"60","Tau1.6.0","Tau1","4","6","1",1353.8774849146,0.000000000442338238702269
"61","Tau2.6.0","Tau2","5","6","1",10714698.2391006,0.00135376414890494
"62","NPQ.6.0","NPQ","6","6","1",0.161717913074548,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000252165103140816
"63","qP.6.0","qP","7","6","1",0.373754730273321,0.00000000000000000000000000000000000000000000000000000000000000000000000000000006172083529688
"64","ABQ.6.0","ABQ","8","6","1",0.168273214013765,0.00000000000000000000000000656498001429908
"65","qm.6.0","qm","9","6","1",0.869505112560732,0.00000000000000000000000000000000000000000000000000000000000000000000000000000003086041764844
"66","nTau1.6.0","nTau1","10","6","1",1.99634741837875,0.000000000442338238702269
"67","nTau2.6.0","nTau2","11","6","1",8.96671746973811,0.00135376414890494
"68","nCon.6.0","nCon","12","6","1",0.849087785811657,0.00145574597793108
"69","Fm.6.0","Fm","13","6","1",2686.72509181355,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000252165103140816
"70","Fo.6.0","Fo","14","6","1",2562.74162010198,0.00000000000000000000000000000000000000000000000000000000000000000000000000000006172083529688
"71","Quant.7.0","Quant","1","7","1",0.056326073279152,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000213151879137908
"72","Sigma.7.0","Sigma","2","7","1",3.91173539038417,0.000000000000000000000000000000096192145209696
"73","Connect.7.0","Connect","3","7","1",0.256529244668523,0.00000686954987293492
"74","Tau1.7.0","Tau1","4","7","1",1364.1833091848,0.00000000000102524388713584
"75","Tau2.7.0","Tau2","5","7","1",12465310.0313887,0.00666215393870757
"76","NPQ.7.0","NPQ","6","7","1",0.211295710650654,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000235058481078555
"77","qP.7.0","qP","7","7","1",0.46150682088881,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000426303758275815
"78","ABQ.7.0","ABQ","8","7","1",0.18960111284057,0.000000000000000000000000000000096192145209696
"79","qm.7.0","qm","9","7","1",0.840719573025271,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000213151879137908
"80","nTau1.7.0","nTau1","10","7","1",2.01154377543861,0.00000000000102524388713584
"81","nTau2.7.0","nTau2","11","7","1",10.4317369215558,0.00666215393870757
"82","nCon.7.0","nCon","12","7","1",0.937310813269959,0.00000686954987293492
"83","Fm.7.0","Fm","13","7","1",2576.75862237644,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000235058481078555
"84","Fo.7.0","Fo","14","7","1",2431.61992738978,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000426303758275815
"85","Quant.8.0","Quant","1","8","1",0.0601949051811725,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000217930868260558
"86","Sigma.8.0","Sigma","2","8","1",3.77998821794768,0.00000000000000000000000000000000052413300746754
"87","Connect.8.0","Connect","3","8","1",0.397531902917161,0.0000000000006481763933995
"88","Tau1.8.0","Tau1","4","8","1",1505.95068398808,0.00000000000000691388375785408
"89","Tau2.8.0","Tau2","5","8","1",9628938.53548195,0.0000545970127543987
"90","NPQ.8.0","NPQ","6","8","1",0.251816614832987,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040651999111361
"91","qP.8.0","qP","7","8","1",0.520639075273624,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000435861736521116
"92","ABQ.8.0","ABQ","8","8","1",0.216895331716261,0.00000000000000000000000000000000052413300746754
"93","qm.8.0","qm","9","8","1",0.82977918323113,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000217930868260558
"94","nTau1.8.0","nTau1","10","8","1",2.2205855357547,0.00000000000000691388375785408
"95","nTau2.8.0","nTau2","11","8","1",8.05808707389114,0.0000545970127543987
"96","nCon.8.0","nCon","12","8","1",1.45250866701577,0.0000000000006481763933995
"97","Fm.8.0","Fm","13","8","1",2493.34976839486,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040651999111361
"98","Fo.8.0","Fo","14","8","1",2343.26281550283,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000435861736521116
"99","Quant.9.0","Quant","1","9","1",0.0683693387773238,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000174549827578849
"100","Sigma.9.0","Sigma","2","9","1",3.76615261638367,0.00000000000000000000000000000000280361481990264
"101","Connect.9.0","Connect","3","9","1",0.22183319597604,0.0000415910813737343
"102","Tau1.9.0","Tau1","4","9","1",1269.49077925197,0.000000000000000654523828688999
"103","Tau2.9.0","Tau2","5","9","1",8126590.63835545,0.0000866958774419481
"104","NPQ.9.0","NPQ","6","9","1",0.279107904760722,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000171300003213887
"105","qP.9.0","qP","7","9","1",0.567447944227277,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000349099655157697
"106","ABQ.9.0","ABQ","8","9","1",0.219761669796853,0.00000000000000000000000000000000280361481990264
"107","qm.9.0","qm","9","9","1",0.8066632939516,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000174549827578849
"108","nTau1.9.0","nTau1","10","9","1",1.8719157885805,0.000000000000000654523828688999
"109","nTau2.9.0","nTau2","11","9","1",6.80083009528309,0.0000866958774419481
"110","nCon.9.0","nCon","12","9","1",0.8105378145063,0.0000415910813737343
"111","Fm.9.0","Fm","13","9","1",2440.15118274993,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000171300003213887
"112","Fo.9.0","Fo","14","9","1",2273.31965986862,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000349099655157697
"113","Quant.10.0","Quant","1","10","1",0.109778293536491,0.00000000000000000000000000000000000000000000000000000000000000000000000000218146214382561
"114","Sigma.10.0","Sigma","2","10","1",4.92838719629878,0.0000000000000000000000000000000000000218128758514752
"115","Connect.10.0","Connect","3","10","1",0.246880051716753,0.000000018279784323504
"116","Tau1.10.0","Tau1","4","10","1",1215.78583644068,0.000000000000000000751395924524556
"117","Tau2.10.0","Tau2","5","10","1",3775907.1121448,0.00000000429879625751865
"118","NPQ.10.0","NPQ","6","10","1",0.31278186357764,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000402133882434211
"119","qP.10.0","qP","7","10","1",0.672361471924088,0.00000000000000000000000000000000000000000000000000000000000000000000000000436292428765123
"120","ABQ.10.0","ABQ","8","10","1",-0.0210198545610387,0.0000000000000000000000000000000000000218128758514752
"121","qm.10.0","qm","9","10","1",0.689565907064192,0.00000000000000000000000000000000000000000000000000000000000000000000000000218146214382561
"122","nTau1.10.0","nTau1","10","10","1",1.79272566603979,0.000000000000000000751395924524556
"123","nTau2.10.0","nTau2","11","10","1",3.15991094765719,0.00000000429879625751865
"124","nCon.10.0","nCon","12","10","1",0.902054431859299,0.000000018279784323504
"125","Fm.10.0","Fm","13","10","1",2377.55925280733,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000402133882434211
"126","Fo.10.0","Fo","14","10","1",2116.55485525225,0.00000000000000000000000000000000000000000000000000000000000000000000000000436292428765123
"127","Quant.11.0","Quant","1","11","1",0.119340811447715,0.00000000000000000000000000000000000000000000000000000000000000000000000132225648867161
"128","Sigma.11.0","Sigma","2","11","1",4.83084058369149,0.000000000000000000000000000000000000236705421553837
"129","Connect.11.0","Connect","3","11","1",0.217999562814543,0.0000017093692664633
"130","Tau1.11.0","Tau1","4","11","1",1352.39689077513,0.0000000000000000000275700189460537
