"","uni","metric","metrix","stage","col","ASnormalized.occ2_aglo12.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.3782498857114,0.000000000000000000000000000000000000000000000000000000020630624443614
"2","Sigma.1.0","Sigma","2","1","1",4.60974548738346,0.00000000000000000000000000000000000000000000000378788667210169
"3","Connect.1.0","Connect","3","1","1",0.330516616264095,0.00000000000000000127650756083127
"4","Tau1.1.0","Tau1","4","1","1",676.348278504029,0.00000000000000000000000000129600561836835
"5","Tau2.1.0","Tau2","5","1","1",768383.762475198,0.0000000000000000000000000000335725720388547
"6","NPQ.1.0","NPQ","6","1","1",0.732732949480987,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000017049286816376
"7","qP.1.0","qP","7","1","1",1.40008162716032,0.0000000000000000000000000000000000000000000000000000000412612488872281
"8","ABQ.1.0","ABQ","8","1","1",0,0.00000000000000000000000000000000000000000000000378788667210169
"9","qm.1.0","qm","9","1","1",0,0.000000000000000000000000000000000000000000000000000000020630624443614
"10","nTau1.1.0","nTau1","10","1","1",1,0.00000000000000000000000000129600561836835
"11","nTau2.1.0","nTau2","11","1","1",1,0.0000000000000000000000000000335725720388547
"12","nCon.1.0","nCon","12","1","1",1,0.00000000000000000127650756083127
"13","Fm.1.0","Fm","13","1","1",1968.76405793691,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000017049286816376
"14","Fo.1.0","Fo","14","1","1",1224.07927802956,0.0000000000000000000000000000000000000000000000000000000412612488872281
"15","Quant.3.0","Quant","1","3","1",0.0570577914158947,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000637275482080848
"16","Sigma.3.0","Sigma","2","3","1",3.2209724644787,0.00000000000000000000000000000000683736453536737
"17","Connect.3.0","Connect","3","3","1",0.328200905703333,0.00000000187943792150239
"18","Tau1.3.0","Tau1","4","3","1",2421.73299583126,0.000000038145432584268
"19","Tau2.3.0","Tau2","5","3","1",5465749.85335761,0.0000000123898151498635
"20","NPQ.3.0","NPQ","6","3","1",0.110311469203737,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210749734187664
"21","qP.3.0","qP","7","3","1",0.329161106070784,0.000000000000000000000000000000000000000000000000000000000000000000000000000000012745509641617
"22","ABQ.3.0","ABQ","8","3","1",0.301268915324225,0.00000000000000000000000000000000683736453536737
"23","qm.3.0","qm","9","3","1",0.849153182667637,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000637275482080848
"24","nTau1.3.0","nTau1","10","3","1",3.58060051721835,0.000000038145432584268
"25","nTau2.3.0","nTau2","11","3","1",7.11330733454175,0.0000000123898151498635
"26","nCon.3.0","nCon","12","3","1",0.992993663716711,0.00000000187943792150239
"27","Fm.3.0","Fm","13","3","1",3072.41926933136,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210749734187664
"28","Fo.3.0","Fo","14","3","1",2897.11381151968,0.000000000000000000000000000000000000000000000000000000000000000000000000000000012745509641617
"29","Quant.4.0","Quant","1","4","1",0.0366041960888623,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000196307047294682
"30","Sigma.4.0","Sigma","2","4","1",2.85005964254444,0.000000000000000000000000296134212421112
"31","Connect.4.0","Connect","3","4","1",0.37780574194954,0.000000631178264415781
"32","Tau1.4.0","Tau1","4","4","1",4975.50490682238,0.00000290298432090239
"33","Tau2.4.0","Tau2","5","4","1",5051208.12646169,0.000000193543712415879
"34","NPQ.4.0","NPQ","6","4","1",0.084000412667768,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000711099127821426
"35","qP.4.0","qP","7","4","1",0.242947311826741,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000392614094589363
"36","ABQ.4.0","ABQ","8","4","1",0.381731670361227,0.000000000000000000000000296134212421112
"37","qm.4.0","qm","9","4","1",0.903227476143137,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000196307047294682
"38","nTau1.4.0","nTau1","10","4","1",7.35642429345334,0.00000290298432090239
"39","nTau2.4.0","nTau2","11","4","1",6.57380904327052,0.000000193543712415879
"40","nCon.4.0","nCon","12","4","1",1.14307639422176,0.000000631178264415781
"41","Fm.4.0","Fm","13","4","1",3146.99359250771,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000711099127821426
"42","Fo.4.0","Fo","14","4","1",3031.80042195716,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000392614094589363
"43","Quant.5.0","Quant","1","5","1",0.0374169586180291,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000543589321007374
"44","Sigma.5.0","Sigma","2","5","1",3.44357604026287,0.000000000000000000000000102848965337911
"45","Connect.5.0","Connect","3","5","1",0.462553861559432,0.0000000000668749051065292
"46","Tau1.5.0","Tau1","4","5","1",2755.40500887491,0.000194972726235015
"47","Tau2.5.0","Tau2","5","5","1",5368758.83539786,0.0000037895672631394
"48","NPQ.5.0","NPQ","6","5","1",0.100906120068267,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000213844969280156
"49","qP.5.0","qP","7","5","1",0.274360762986381,0.000000000000000000000000000000000000000000000000000000000000000000000000000000108717864201475
"50","ABQ.5.0","ABQ","8","5","1",0.252979139588577,0.000000000000000000000000102848965337911
"51","qm.5.0","qm","9","5","1",0.901078731199994,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000543589321007374
"52","nTau1.5.0","nTau1","10","5","1",4.07394399667789,0.000194972726235015
"53","nTau2.5.0","nTau2","11","5","1",6.98708002119078,0.0000037895672631394
"54","nCon.5.0","nCon","12","5","1",1.39948746537401,0.0000000000668749051065292
"55","Fm.5.0","Fm","13","5","1",3098.66780714203,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000213844969280156
"56","Fo.5.0","Fo","14","5","1",2982.72508203118,0.000000000000000000000000000000000000000000000000000000000000000000000000000000108717864201475
"57","Quant.6.0","Quant","1","6","1",0.0400810183936146,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000316509101702475
"58","Sigma.6.0","Sigma","2","6","1",3.51889018029919,0.00000000000000000000000000000489227523416752
"59","Connect.6.0","Connect","3","6","1",0.254840868581325,0.000044382657779622
"60","Tau1.6.0","Tau1","4","6","1",2570.36577627356,0.0000000331243020037862
"61","Tau2.6.0","Tau2","5","6","1",10424102.4456022,0.000571362827658943
"62","NPQ.6.0","NPQ","6","6","1",0.121777900087507,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000192898074870068
"63","qP.6.0","qP","7","6","1",0.315070248704174,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000633018203404951
"64","ABQ.6.0","ABQ","8","6","1",0.236641113933483,0.00000000000000000000000000000489227523416752
"65","qm.6.0","qm","9","6","1",0.89403561003533,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000316509101702475
"66","nTau1.6.0","nTau1","10","6","1",3.80035827393364,0.0000000331243020037862
"67","nTau2.6.0","nTau2","11","6","1",13.5662711195549,0.000571362827658943
"68","nCon.6.0","nCon","12","6","1",0.771037993374888,0.000044382657779622
"69","Fm.6.0","Fm","13","6","1",3041.01404803488,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000192898074870068
"70","Fo.6.0","Fo","14","6","1",2919.12710804035,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000633018203404951
"71","Quant.7.0","Quant","1","7","1",0.0444137815893204,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000609641303310907
"72","Sigma.7.0","Sigma","2","7","1",3.7926629834759,0.0000000000000000000000000000175405509249576
"73","Connect.7.0","Connect","3","7","1",0.283542818023573,0.00000616192995154115
